#Wavelength	Counts	
747.88536	32.63598
747.88538	21.13821
747.88537	22.22222
747.88544	28.69565
747.88570	27.53036
747.88592	25.94142
747.88602	41.02564
747.88615	27.38589
747.88618	31.79916
747.88622	33.47280
747.88635	34.81781
747.88641	27.73109
747.88658	26.66667
747.88665	26.72065
747.88677	5.73770
747.88687	4.16667
747.88693	0.68729
747.88693	0.88106
747.88697	0.00000
747.88700	0.94787
747.88706	0.00000
747.88721	0.83333
747.88742	0.00000
747.88760	1.69492
747.88775	2.47934
747.88784	0.00000
747.88804	0.00000
747.88822	0.83333
747.88835	0.00000
747.88841	0.00000
747.88846	0.83333
747.88850	0.00000
747.88853	2.52101
747.88853	0.82988
747.88857	0.00000
747.88860	0.00000
747.88862	0.82988
